Year,Variable_original,Variable_standardized,Description,Coding,Missing/Unknown,Role_in_project,Available_pre_decision,MFMU_component,Harmonisation_notes,Source_guide,Key_harmonisation_change,MHISPX_change,MRACEHISP_change,California_2019_Hispanic_reporting,MBRACE_change,Position,Length,Publication_harmonisation_note,Primary_analysis_action
2016,DOB_YY,birth_year,Birth year,year,,Cohort/time split,Yes,No,Use for temporal development/validation split,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,9-12,4,,
2016,DOB_MM,birth_month,Birth month,01-12,,Candidate predictor/QC,Yes,No,Potential seasonal/time marker; use only if clinically justified,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,13-14,2,,
2016,MAGER,maternal_age,Mother's single years of age,12-50 (50=50+),No explicit unknown code in recode; age may be imputed,Predictor / MFMU,Yes,Yes - exact concept,Use continuous age; flag imputation separately if desired,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,75-76,2,,
2016,MAGE_IMPFLG,maternal_age_imputed,Mother's age imputed flag,blank=not imputed; 1=imputed,blank,QC,Yes,No,Optional data-quality flag,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,73,1,,
2016,MRACE6,maternal_race6,Mother's race recode 6,1 White; 2 Black; 3 AIAN; 4 Asian; 5 NHOPI; 6 >1 race,9/blank depending year,Equity subgroup,Yes,No,"Race should primarily be an evaluation subgroup, not necessarily a model predictor",CDC/NCHS Natality User Guide 2016,False,False,False,False,False,107,1-2 depending year formatting,,
2016,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2016,True,False,True,False,False,117,1,,
2016,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2016,True,True,False,False,False,115,1,,
2016,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,Not in public-use layout,,Secondary equity subgroup,No,No,Detailed Dominican category introduced in 2018; use MHISP_R/MRACEHISP for 2016-2017 harmonisation.,CDC/NCHS Natality User Guide 2016,True,True,True,False,False,112,1,,
2016,MEDUC,maternal_education,Mother's education,1 <=8th; 2 9-12 no diploma; 3 HS/GED; 4 some college; 5 associate; 6 bachelor; 7 master; 8 doctorate/professional; 9 unknown,9,Equity / candidate predictor,Yes,No,Socioeconomic proxy; evaluate missingness,CDC/NCHS Natality User Guide 2016,False,False,False,False,False,124,1,,
2016,DMAR,marital_status,Marital status,1 married; 2 unmarried (US coding),varies for territories,Candidate predictor / equity,Yes,No,"If US-only analysis, use US coding",CDC/NCHS Natality User Guide 2016,False,False,False,False,False,120,1,,
