feature_number,preprint_feature,preprint_domain,source_status,Natality_variable_original,Natality_variable_standardized,years_available_in_harmonisation,available_at_frozen_counselling_timepoint,used_in_race_neutral_model,used_in_race_inclusive_model,crosswalk_status,crosswalk_notes
1,Maternal age,Demographic,Explicitly identifiable from published preprint text,MAGER,maternal_age,2016-2024,Yes,True,True,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
2,Maternal race/ethnicity,Demographic,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
3,Paternal race,Demographic,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
4,Maternal education,Demographic / socioeconomic,Explicitly identifiable from published preprint text,MEDUC,maternal_education,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
5,Marital status,Demographic / socioeconomic,Explicitly identifiable from published preprint text,DMAR,marital_status,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
6,State,Geographic,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
7,Urbanization level,Geographic,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
8,U.S. Census region,Geographic,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
9,Prepregnancy BMI,Clinical,Explicitly identifiable from published preprint text,BMI; BMI_R,prepregnancy_bmi; prepregnancy_bmi_cat,2016-2024,Yes,True,True,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
10,Tobacco use,Clinical,Explicitly identifiable from published preprint text,CIG_0; CIG_1,cigarettes_pre_pregnancy; cigarettes_trimester1,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
11,Prepregnancy diabetes,Clinical,Explicitly identifiable from published preprint text,RF_PDIAB,prepregnancy_diabetes,2016-2024,Yes,True,True,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
12,Gestational diabetes,Clinical,Explicitly identifiable from published preprint text,RF_GDIAB,gestational_diabetes,2016-2024,Yes,True,True,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
13,Chronic/prepregnancy hypertension,Clinical,Explicitly identifiable from published preprint text,RF_PHYPE,prepregnancy_hypertension,2016-2024,Yes,True,True,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
14,Gestational hypertension,Clinical,Explicitly identifiable from published preprint text,RF_GHYPE,gestational_hypertension,2016-2024,Yes,True,True,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
15,Eclampsia,Clinical,Explicitly identifiable from published preprint text,RF_EHYPE,eclampsia,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
16,Anemia,Clinical,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
17,Prior live births / parity,Obstetric history,Explicitly identifiable from published preprint text,LBO_REC; PRIORDEAD; PRIORLIVE,live_birth_order; prior_live_births_dead; prior_live_births_living,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
18,Number of previous cesareans,Obstetric history,Explicitly identifiable from published preprint text,RF_CESARN,n_previous_cesareans,2016-2024,Yes,False,False,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
19,Prior preterm birth,Obstetric history,Explicitly identifiable from published preprint text,RF_PPTERM,previous_preterm_birth,2016-2024,Yes,True,True,Mapped to harmonisation workbook,Feature/concept explicitly identifiable in Anand 2025 text.
20,Interpregnancy / interval since last live birth,Obstetric history,Explicitly identifiable from published preprint text,,,,,,,No direct harmonisation match found,Feature/concept explicitly identifiable in Anand 2025 text.
