Year,Variable_original,Variable_standardized,Description,Coding,Missing/Unknown,Role_in_project,Available_pre_decision,MFMU_component,Harmonisation_notes,Source_guide,Key_harmonisation_change,MHISPX_change,MRACEHISP_change,California_2019_Hispanic_reporting,MBRACE_change,Position,Length
2016,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2016,True,False,True,False,False,117,1
2016,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2016,True,True,False,False,False,115,1
2016,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,Not in public-use layout,,Secondary equity subgroup,No,No,Detailed Dominican category introduced in 2018; use MHISP_R/MRACEHISP for 2016-2017 harmonisation.,CDC/NCHS Natality User Guide 2016,True,True,True,False,False,112,1
2017,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2017,True,False,True,False,False,117,1
2017,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2017,True,True,False,False,False,115,1
2017,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,Not in public-use layout,,Secondary equity subgroup,No,No,Detailed Dominican category introduced in 2018; use MHISP_R/MRACEHISP for 2016-2017 harmonisation.,CDC/NCHS Natality User Guide 2017,True,True,True,False,False,112,1
2018,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2018,True,False,True,False,False,117,1
2018,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2018,True,True,False,False,False,115,1
2018,MHISPX,maternal_hispanic_detailed,Mother's detailed Hispanic origin,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 Dominican; 6 other/unknown; 9 not stated,9,Secondary equity subgroup,2018+ only,No,Not present in 2016-2017 public-use layout; definition changes noted for 2023,CDC/NCHS Natality User Guide 2018,True,True,False,False,False,112,1
2019,MRACEHISP,race_ethnicity,Mother's race/Hispanic origin recode,1 NH White; 2 NH Black; 3 NH AIAN; 4 NH Asian; 5 NH NHOPI; 6 NH >1 race; 7 Hispanic; 8 unknown,8,Primary equity subgroup,Yes,No,Most practical harmonized race/ethnicity variable,CDC/NCHS Natality User Guide 2019,True,False,True,False,False,117,1
2019,MHISP_R,maternal_hispanic_origin,Mother's Hispanic origin recode,0 non-Hispanic; 1 Mexican; 2 Puerto Rican; 3 Cuban; 4 Central/South American; 5 other/unknown Hispanic; 9 not stated,9,Equity subgroup,Yes,No,Dominican detail is separately available from 2018 via MHISPX,CDC/NCHS Natality User Guide 2019,True,True,False,False,False,115,1
